team,season,xgf60,xga60,ev_xgf60,ev_xga60,pp_xgf60,pp_xga60,pk_xgf60,pk_xga60,hdf,hda,hdf_percent,xgoals_percentage,corsi_percentage,fenwick_percentage,penalties_drawn_per60,penalties_taken_per60,penalty_diff,gsa_per60,save_percent,hd_save_percent
TBL,2013,2.696885171234129,2.6318956603842585,2.2647301825624164,2.193013726781273,5.765902323962724,0.8547233285642474,0.8584730686248533,6.258677466974526,66.83,68.67,0.49321033210332105,0.51,0.5,0.5,3.901764371465522,4.021450395130109,-0.11968602366458692,0.13045776579439944,0.9128803668195081,0.6387434554973822
ANA,2013,2.7602328245167023,2.5646361866469864,2.355800576900101,2.184215467067197,5.702450811183984,0.659993096306524,1.1028224996988798,6.650178664632433,66.2,70.12,0.48562206572769956,0.52,0.5,0.51,4.18362814865772,4.13554046878809,0.048087679869629696,0.12418643326331692,0.9137638062871708,0.6225490196078431
MIN,2013,2.290495114590492,2.254638898018944,1.8737007874015748,1.8355076668048074,6.567144877753082,0.6212164073550211,0.5914203084832905,5.481844473007712,65.69,58.69,0.5281395722785014,0.5,0.49,0.49,3.7409985956315177,3.812711028774614,-0.07171243314309628,-0.11187139570323022,0.9128904531456226,0.6047904191616766
MTL,2013,2.543327356685665,2.685164224254505,2.157769469073817,2.3260591817113556,5.402184707050646,0.9149288315127442,0.8352194118273085,5.527262407322005,69.66,68.33,0.504819189796362,0.49,0.47,0.48,4.49550749752086,4.519547644566426,-0.02404014704556623,0.2691294461751123,0.9209284028324154,0.6799999999999999
ARI,2013,2.4827215006927346,2.812722397759327,2.000125727648767,2.278184995662396,6.611612903225806,0.7361876832844575,0.639597614894739,6.759583012209467,65.97,80.09,0.45166369984937693,0.47,0.5,0.5,3.911210342181068,4.018858333250272,-0.10764799106920364,0.13348350892581254,0.9118457300275482,0.6504424778761062
DET,2013,2.5030472236774917,2.4489730955680966,2.0762043031627995,2.060858775565328,5.707045735475896,0.6688813349814586,0.7688507918058985,5.299578672090658,67.81,65.21,0.5097729664712074,0.51,0.51,0.51,3.8317428527849438,3.7720583846730285,0.0596844681119153,-0.18908039497854678,0.9079933388842631,0.554945054945055
STL,2013,2.5291714702687575,2.283751274481711,2.1647250343389124,1.8631530752403724,5.796311523552214,0.7400446376130624,0.5893065939127662,4.833079403323531,63.77,61.19,0.5103233034571063,0.53,0.53,0.53,4.642112207702201,4.546151231832388,0.09596097586981323,0.02866834154110645,0.9130836800739713,0.6608187134502924
NSH,2013,2.44574039559911,2.341129080743101,2.116292231600187,2.0021654076133766,5.816829143150334,0.4232939969214982,0.3130434782608696,5.805251829530779,61.41,57.88,0.5147958755972839,0.51,0.48,0.49,3.5832381410449106,3.5952624301088196,-0.012024289063909066,-0.4605302711477185,0.9016877637130801,0.6167664670658682
BOS,2013,2.86550016904954,2.327420504872309,2.3688347472395,1.9943498423450208,7.906756820653459,0.7455671662962788,0.928649040202825,5.060485331401666,80.12,52.63,0.6035404896421845,0.55,0.53,0.53,4.109410201219165,3.6394190051853017,0.46999119603386363,0.2666898761084461,0.9283018867924528,0.6073619631901841
EDM,2013,2.497480880788454,3.043055862221241,2.096481528129416,2.5886321038677145,5.613592765141134,0.9245585874799358,0.49430722094034873,6.413738321292128,60.15,82.9,0.4204823488290807,0.45,0.45,0.44,4.407956803629138,4.3597824123326445,0.04817439129649337,-0.1725847568196874,0.9009643916913946,0.6398305084745763
NJD,2013,2.4208749061081236,2.120314546095095,2.1540406857822902,1.7154970434006471,4.671720015593191,0.9215575865205526,0.569471842781107,4.947035396583169,59.84,51.61,0.5369223867205025,0.53,0.53,0.52,3.4219849905941944,3.2066153058714826,0.21536968472271178,-0.21285703840094647,0.906653901388224,0.5733333333333333
CBJ,2013,2.3626262118852663,2.3504495905962726,1.9625537139349294,1.8953345610804175,5.116158338741077,0.4741000877963126,0.9899601358334563,6.044736453565628,59.14,64.01,0.48022736500203,0.5,0.5,0.5,4.291957602853268,4.195509117395891,0.09644848545737705,-0.2295473953885567,0.9152139461172741,0.5730994152046784
