team,season,xgf60,xga60,ev_xgf60,ev_xga60,pp_xgf60,pp_xga60,pk_xgf60,pk_xga60,hdf,hda,hdf_percent,xgoals_percentage,corsi_percentage,fenwick_percentage,penalties_drawn_per60,penalties_taken_per60,penalty_diff,gsa_per60,save_percent,hd_save_percent,nhl_tricode,wins,losses,ot,points
CGY,2013,2.370306603537502,2.5797939960560954,1.9315683643378925,2.2084925707340353,6.152092960653237,0.4247835255058549,1.1807974538060295,6.212713287949783,66.03,68.57,0.4905646359583953,0.48,0.47,0.48,3.627591315402248,3.735698341357944,-0.1081070259556962,-0.2790362458834244,0.8985939497230507,0.6473429951690821,CGY,19.0,25.0,4.0,42.0
SJS,2013,3.1874607900737892,2.225749594208383,2.615516248457425,1.948087206910737,7.2591773551525876,0.745687748783724,1.0266487730061349,5.269555214723926,92.56,55.2,0.6264212236058474,0.59,0.54,0.56,3.3339640115115365,4.086794594756077,-0.7528305832445401,-0.0805409227153684,0.915425065731814,0.6604938271604939,SJS,25.0,16.0,7.0,57.0
VAN,2013,2.464770310612338,2.490649680002396,2.0686148875689256,2.0949121130029345,6.287060352530258,0.6945008528957842,0.6211247857921794,4.518928181959806,64.53,65.07,0.4979166666666667,0.5,0.52,0.52,4.337190610741136,4.049642061962719,0.2875485487784175,-0.0972872590033647,0.9072164948453608,0.5775401069518716,VAN,26.0,15.0,7.0,59.0
NYR,2013,2.73008224473429,2.555284501011701,2.3767143163552404,2.244691454598216,5.862298272646176,0.972183926688833,0.7906933457422056,5.586784550953932,64.16,67.1,0.4888008532683224,0.52,0.53,0.53,3.8052031287225727,4.203843456493509,-0.398640327770936,0.2600826138457047,0.9211945250933222,0.7093596059113301,NYR,26.0,18.0,4.0,56.0
TOR,2013,2.4520045933396575,3.269099805282341,2.068896688235,2.787471514828922,5.345300865365265,0.827369692090964,0.4594878423135956,7.017368123434849,61.05,86.23,0.4145165670831069,0.43,0.44,0.43,4.3496929452294175,4.1340056917469665,0.215687253482451,0.2494782565280342,0.9144312393887946,0.6721311475409837,TOR,26.0,17.0,5.0,57.0
FLA,2013,2.4735500913906048,2.745040225207797,2.30064205254992,2.329856074271226,4.435294117647059,0.8274509803921568,0.8571428571428571,6.90665291387313,59.43,75.46,0.4405812143227816,0.47,0.5,0.5,3.8063853348098142,3.9144530572492098,-0.1080677224393951,-0.4009312502501566,0.8972951783614269,0.5446009389671361,FLA,15.0,27.0,6.0,36.0
CAR,2013,2.721910366227167,2.8050570880571986,2.3110123136099108,2.474361215875315,5.581091587622454,0.8900637536930492,0.8599312203736407,5.6280323450134775,66.72,68.55,0.4932357507207807,0.49,0.51,0.5,3.47047186768826,3.844029603446371,-0.3735577357581112,0.0817006918851611,0.9109184075679936,0.6161616161616161,CAR,19.0,25.0,4.0,42.0
PHI,2013,2.8509020003272108,2.636585520582569,2.208117132646991,2.2245302927013544,7.665046398585948,0.8404772425983208,0.6960334861470998,5.397249352202511,87.63,73.28,0.544590143558511,0.52,0.51,0.51,4.807997302179292,4.531537457303982,0.2764598448753093,-0.091952948404179,0.9094896331738436,0.6407766990291262,PHI,23.0,22.0,3.0,49.0
OTT,2013,2.7130393115978197,2.859903767444646,2.2502503530620106,2.3849017845679805,7.08673835125448,1.0551971326164875,0.7475135229453848,5.490141336590473,82.93,75.77,0.5225582860743542,0.49,0.51,0.5,5.019266476331183,4.408329506658414,0.6109369696727693,-0.230718549723481,0.9094736842105264,0.6403508771929824,OTT,25.0,17.0,6.0,56.0
BUF,2013,2.168858514837939,2.9856342455559597,1.8320837192538355,2.478737002686426,5.246538741802283,0.6295846490162741,0.4353451444534293,6.691612144379916,57.44,79.23,0.4202824321358015,0.42,0.43,0.43,4.0364266145205905,3.844215823352944,0.1922107911676467,0.066432854697318,0.9137380191693292,0.6880733944954128,BUF,21.0,21.0,6.0,48.0
